method,path,input,target,pearson_r,pearson_p,spearman_r,spearman_p,ols_beta,ols_p,ols_r2,rmse,mae,directional_accuracy,main_conclusion,pearson_significance,ols_significance
Human sentiment score,Human sentiment → abret_21d,manual sentiment_score,abret_21d,0.08664692379514889,0.1097038833959255,0.0876224907274171,0.1057479769490294,0.006553480018244829,0.1097038833959254,0.007507689403162932,,,,Weak positive relationship; not statistically significant for 21-day abnormal return.,Not significant,Not significant
BERT predicted sentiment,BERT predicted sentiment → abret_21d,BERT predicted sentiment class,abret_21d,0.1520032066230785,0.004845521147976521,0.1621509468136683,0.002632790191095535,0.01544976556559296,0.004845521147976569,0.02310497482369789,,,,Stronger positive and statistically significant relationship with 21-day abnormal return.,***,***
End-to-end BERT regression,News text → abret_21d,full_text,abret_21d,0.22127391,0.0676724627015648,0.2053232765876401,0.0905565948148862,,,,0.0863838875522459,0.0835098847746849,0.1159420289855072,Direct return prediction shows weak correlation but does not outperform the mean-return baseline.,*,N/A
